XID,RERA,Project Name,Location City,Location State, Location Locality
r438337,,Benchmark Pari Heights,Dehradun,Uttarakhand,Laxman Chowk
r427035,TN/29/Building/0330/2024,Legendary Super60,Chennai,Tamil Nadu,Saidapet
r440626,,Harmony Heights,Jaipur,Rajasthan,Bani Park
r430255,P-IND-24-4894,Cliffton Palladium,Indore,Madhya Pradesh,Scheme No 140
r394508,PR/GJ/VADODARA/VADODARA/Others/RAA10034/160422,Shree Siddheshwar Havelock,Vadodara,Gujarat,Vemali
r430289,PCGRERA220724001797,Krishna Sattvam,Raipur,Chattisgarh,Mahadev Ghat Road
r380112,RAJ/P/2021/1631,Platinum Greens Opulence,Jaipur,Rajasthan,Mansarovar Extension
r426131,PR/GJ/VADODARA/VADODARA/VadodaraMunicipalCorporation/MAA13302/120424/300329,Shree Siddheshwar Holyland,Vadodara,Gujarat,Sama Savli Road
r436048,RERAA DI 109 OF 2024-25,Kabyashree Paramount,Dibrugarh,Assam,Boiragimoth
r437357,PRM/KA/RERA/1251/309/PR/310125/007461,Ajmera Marina,Bangalore,Karnataka,Kempanahalli
r435268,P52100077554,Satyam Kashish,Pune,Maharashtra,Kondhwa Budruk
r394576,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA10193/130522,PSY Pramukh Pearl,Gandhinagar,Gujarat,Sargasan
r428927,PRM/KA/RERA/1251/446/PR/040524/006861,Udbhav Gokulam,Bangalore,Karnataka,Varthur
r425271,PR/GJ/VADODARA/VADODARA/Vadodara Municipal Corporation/MN92AA09992/240622,Shree Siddheshwar Hometown,Vadodara,Gujarat,Kapurai
r439005,TN/35/Building/0046/2024,Ashiana Vatsalya,Chennai,Tamil Nadu,Mahindra City
r440588,,SD Sri Chakra Farms,Bangalore,Karnataka,Jangamakote
r265117,,Pegasus Earth 2,Ahmedabad,Gujarat,Dholera
r412882,K-RERA/PRJ/TVM/102/2023,Shanoor Curiocity,Trivandrum,Kerala,Kazhakootam
r438251,P51700079096,Rustomjee Urban Woods,Mumbai,Maharashtra,Dombivli East
r351045,RAJ/P/2022/1859,Sumangalam Shubh Avenue,Kota,Rajasthan,Raipura
r438707,P50500078404 ,PVR Om Residency,Nagpur,Maharashtra,"Somalwada, Wardha Road"
r434591,WBRERA/P/NOR/2024/002121,Devi Durga,Kolkata,West Bengal,Rajarhat
r401544,PR/GJ/VADODARA/VADODARA/Others/RAA10920/141122,Madhuvan The Mark,Vadodara,Gujarat,Harni
r424978,PRM/KA/RERA/1251/446/PR/060324/006675,Inspira Infinity,Bangalore,Karnataka,Carmelaram
r438169,PR/GJ/AHMEDABAD/DASKROI/AhmedabadMunicipalCorporation/RAA14124/110924/311229,Samay Lakeview,Ahmedabad,Gujarat,Ghuma
r393291,PR/GJ/VADODARA/KARJAN/Others/MAA09921/190322,Shree Siddheshwar Highness,Vadodara,Gujarat,Bapod
r439029,GGM/904/636/2025/07DATED24.01.2025,The Saavira,Delhi NCR,Haryana,Sector 48
r399657,P02200005143,PMR Parkvue,Hyderabad,Telangana,Kompally
r416791,TN/29/Layout/3493/2023,VGN Paradise,Chennai,Tamil Nadu,Thiruvattiyur
r438709,PRM/KA/RERA/1251/310/PR/241224/007314,Raki Amaryllis,Bangalore,Karnataka,Begur Road
r330671,P51700020644,Seasons Sahara,Mumbai,Maharashtra,Kalyan East
r4746,P52100000240,Naiknavare Dwarka,Pune,Maharashtra,Chakan
r380334,WBRERA/P/SOU/2023/000306,Merlin Oikyo,Kolkata,West Bengal,Baruipur
r402726,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA11130/030123,Sattvam Icon,Ahmedabad,Gujarat,Vatva
r418564,WBRERA/P/HOW/2023/000749,Prarthana,Kolkata,West Bengal,Shibpur
r436680,UPRERAPRJ572873/11/2024,Aditya The Kutumb,Delhi NCR,Uttar Pradesh,Shahpur Bamheta
r418865,P51800053382,49 Simandhar Royale,Mumbai,Maharashtra,Chembur
r440610,P01100009317,Mahidhara Springs,Hyderabad,Telangana,Chintalcheru
r440257,PRM/KA/RERA/1251/446/PR/301024/007191,Jagadhabi Premier 1 ,Bangalore,Karnataka,Whitefield
r439504,PRM/KA/RERA/1254/460/PR/280325/007638,Fortune One Vistaa,Bangalore,Karnataka,Devanahalli
r418370,P02200007156,V4 IRA Towers,Hyderabad,Telangana,Nizampet
r440144,,Capital Homes,Surat,Gujarat,Masma
r440120,,Shivam Bunglows,Navsari,Gujarat,Jamalpore
r434882,P51700077356,Lodha Hanging Gardens,Mumbai,Maharashtra,Dombivli East
r385318,P02400003860,Sterling Eutopia,Hyderabad,Telangana,Maheshwaram
r352985,P51700026430,A H Sapphire,Mumbai,Maharashtra,Mira Road
r38004,P52100056199 ,Riddhi Zoa,Pune,Maharashtra,Mundhwa
r393185,RAJ/P/2022/2012 ,Ashiana Advik,Bhiwadi,Rajasthan,Alwar Bypass Road
r423231,UPRERAPRJ923240/02/2024,Roma Entertainment City,Varanasi,Uttar Pradesh,Chitaipur
r415452,PR/GJ/VADODARA/VADODARA/Others/MAA12247/010923,Shree Siddheshwar Helenium,Vadodara,Gujarat,Chhani
r430314,RAJ/P/2024/3166,Floresta,Jaipur,Rajasthan,Mansarovar
r403967,P99000048699,Ditya Luxuria,Mumbai,Maharashtra,Vasai East
r403839,WBRERA/P/KOL/2023/000199,The Royal Ganges,Kolkata,West Bengal,Maheshtala
r421671,P52000054251,Rudra Regency,Mumbai,Maharashtra,Kharghar
r8602,,RMZ Latitude,Bangalore,Karnataka,Amruthnagar
r410773,P52100051095,Ved Mangalam Melizma,Pune,Maharashtra,Kiwale
r425182,P52100055233,Pyramid Crown 8,Pune,Maharashtra,Balewadi
r426806,P51700055585,Mextech Miraya Divine,Mumbai,Maharashtra,Majiwada
r369480,PRM/KA/RERA/1251/446/PR/200908/003599,Radiance Blossom,Bangalore,Karnataka,Mandur
r411937,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA12019/280623,Goyal Orchid Gold,Ahmedabad,Gujarat,Shela
r382978,P51800028266,UK Luxecity,Mumbai,Maharashtra,Kandivali East
r420035,,RS Homes Phase 2,Lucknow,Uttar Pradesh,Bakshi Ka Talab
r437318,PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/MAA14570/231224/311228,Imperia Pearl,Ahmedabad,Gujarat,Zundal
r405939,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/RAA11315/A1R/101224/311227,Manor Ananda,Ahmedabad,Gujarat,Ambli
r385504,P51800032647,S D Aquila,Mumbai,Maharashtra,Thakur Village
r383033,P52100031876,Geras Planet of Joy,Pune,Maharashtra,Kharadi
r226007,PCGRERA060718000482,Dolphins Jewel O,Raipur,Chattisgarh,New Dhamtari Road
r371282,P52100028131,VTP Aethereus,Pune,Maharashtra,Mahalunge
r404256,P51700048590,Stellar by Yuvan Group,Mumbai,Maharashtra,Panch Pakhadi
r376808,PRM/KA/RERA/1251/308/PR/210408/004106,Mahendra Aarya,Bangalore,Karnataka,Andapura
r439605,P51700079035,Lodha Opulis,Mumbai,Maharashtra,Dombivli East
r440554,,Sree Sripuram Gardens,Visakhapatnam,Andhra Pradesh,Atchutapuram 
r428274,TN/35/Layout/2140/2024,DRA Inara,Chennai,Tamil Nadu,Navalur
r55428,GGM/746/478/2023/90DATED18.09.2023,Godrej Aria,Delhi NCR,Haryana,Sector 79
r427922,K-RERA/PRJ/TVM/088/2024,Shanoor Tulips,Trivandrum,Kerala,Kazhakootam
r374967,PRM/KA/RERA/1251/308/PR/210219/003913,Ahad Serenity,Bangalore,Karnataka,Sarjapur Road
r423639,PR/GJ/AHMEDABAD/DASKROI/AhmedabadMunicipalCorporation/RAA12898/070224/300628,Vaikunth,Ahmedabad,Gujarat,Shilaj
r308079,TN/01/Building/0027/2017,Ozone Greens,Chennai,Tamil Nadu,Perumbakkam
r12458,P51700008172,SK Imperial Heights,Mumbai,Maharashtra,Mira Road
r435518,P51700077151,Jaydeep La Residency,Mumbai,Maharashtra,Kolshet Road
r411034,P52100050930,Sai Pleasure,Pune,Maharashtra,Wakad
r377029,P53100028948,Suryawanshi Palash,Sangli,Maharashtra,Vishrambag
r411228,P51800051344,Kabra Garnet,Mumbai,Maharashtra,Malad West
r401742,PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA10955/191122,Veritas,Ahmedabad,Gujarat,Sola
r406187,P51800049987,R Rekhaz,Mumbai,Maharashtra,Mulund West
r386525,K-RERA/PRJ/KKD/081/2021,Landmark Blueberry,Calicut,Kerala,Methottuthazham
r439130,UPRERAPRJ413207/01/2025,Agrasheel Aashrayam Phase 1,Lucknow,Uttar Pradesh,Mohanlalganj
r383265,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA09390/011221,NB Upavan,Ahmedabad,Gujarat,Vaishnodevi Circle
r339989,P52100021457,RR Lunkad 66 Avenue,Pune,Maharashtra,Pimple Nilakh
r388014,P52000034056,NMS One 27,Mumbai,Maharashtra,Kharghar
r22256,P52100047674,Pegasus Megapolis Mystic,Pune,Maharashtra,Hinjewadi
r385283,P01100003953,Bricks Cyberwoods,Hyderabad,Telangana,Osman Nagar
r350821,PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/MAA06734/030220,Divyajyot Sarang Lakeview,Ahmedabad,Gujarat,Vaishnodevi Circle
r412724,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/RAA12017/280623,Z Luxuria,Ahmedabad,Gujarat,Thaltej
r331705,P03300100327,MVV and MK Park,Visakhapatnam,Andhra Pradesh,Gajuwaka
r438258,WBRERA/P/KOL/2025/002336,Srijan Palladina,Kolkata,West Bengal,EM Bypass
r404581,TN/01/Building/0092/2023,TVS Emerald Udyana,Chennai,Tamil Nadu,Medavakkam
r416720,PR/GJ/GANDHINAGAR/GANDHINAGAR/GandhinagarMunicipalCorporation/RN362AA10262/270923,Pravesh By Kaavyaratna,Gandhinagar,Gujarat,Randesan
r390656,P51800034950,Ashapura The Rising 58,Mumbai,Maharashtra,Vikhroli East
r399794,K-RERA/PRJ/TVM/157/2022,Shanoor Cyber Cloud,Trivandrum,Kerala,Kazhakootam
r368838,P50500026071,Shree Shivgauri Residency,Nagpur,Maharashtra,Jaitala
r369176,P52100026112,Star Vista,Pune,Maharashtra,Ravet
r398390,P52100046867,Supreme Villagio,Pune,Maharashtra,Somatane
r338829,TN/01/Building/0137/2021,Appaswamy Altezza,Chennai,Tamil Nadu,Perungudi
r417193,P52000052839,Siya Vishwaraja,Mumbai,Maharashtra,Kharghar
r403268,P52100048273,Vellkin Basil Flora,Pune,Maharashtra,Kiwale
r431521,P52100077000,Prasun Adara,Pune,Maharashtra,Kharadi
r426168,K-RERA/PRJ/ERN/067/2024,Skyline Sanctuary,Kochi,Kerala,Koonammavu
r411224,P51800051233,Shreeji Aikyam,Mumbai,Maharashtra,Kandivali West
r416643,TN/01/layout/2534/2023,Lancor Temple Town,Chennai,Tamil Nadu,Sriperumbudur 
r401986,P51800047526,Natasha Atlantis,Mumbai,Maharashtra,Vikhroli East
r383162,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA09373/261121,Vinayak Sapphire,Gandhinagar,Gujarat,Sargasan
r439511,P51700077815,Dreamland Sahyadri Lifespaces,Mumbai,Maharashtra,Kausa
r274593,P52100023058,Swaraaj Paradise,Pune,Maharashtra,Pimple Saudagar
r397755,GGM/499/231/2021/67DATED12.10.2021,HCBS Auroville,Delhi NCR,Haryana,Sector 103
r409652,TN/01/Building/00206/2023,TVS Emerald Elements,Chennai,Tamil Nadu,Kovilambakkam
r439298,TN/29/Building/0018/2025,DRA Astra,Chennai,Tamil Nadu,Madhavaram
r398125,P52000046661,Meghna 7,Mumbai,Maharashtra,Kharghar
r396516,PBRERA-SAS79-PR0756,SBP City of Dreams Zirakpur,Chandigarh,0,Zirakpur
r315035,BRERAP00090-1/267/R-137/2018,Ramgolia City,Patna,Bihar,Bailey Road
r353279,RAJ/P/2020/1215,Akansha Deep Heights,Kota,Rajasthan,Kunhari
r439270,TN/29/Building/0028/2025 dated 27-01-2025,Radiance Solitaire,Chennai,Tamil Nadu,Madhavaram
r438816,PRM/KA/RERA/1251/308/PR/230125/007420,Sobha Madison Heights,Bangalore,Karnataka,Hosur Road
r407202,P10110033439,Nakshatra Casa Grande,Tirupati,Andhra Pradesh,Akkarampalle
r371808,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA07702/241120,Pacifica Amara,Ahmedabad,Gujarat,Sanathal
r379413,UPRERAPRJ461785,Omaxe Hi Street,Lucknow,Uttar Pradesh,Kalli Pashchim
r404903,P52100049329,Vtop Valonia,Pune,Maharashtra,Punawale
r422483,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA12836/300124/300927,Sampatti Celestial Garden Living,Ahmedabad,Gujarat,Shilaj
r380452, PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA08965/310821,Savya Skyz 2,Ahmedabad,Gujarat,Motera
r329215,P51800020140,Mayfair The View,Mumbai,Maharashtra,Vikhroli West
r399018,P51800046897,Sardar Inspire Residency,Mumbai,Maharashtra,Andheri East
r428231,P52100056306,Solitaire Kothrud,Pune,Maharashtra,Lokmanya Colony
r394574,P52100046076,Choice Goodwill Verve,Pune,Maharashtra,Keshav Nagar
r424122,P50500055006,Shree Laxmi Peace City,Nagpur,Maharashtra,Besa
r411002,PR/GJ/GANDHINAGAR/GANDHINAGAR/GandhinagarMunicipalCorporation/MAA11868/A1M/060125/311226,Zion Nest,Ahmedabad,Gujarat,Vaishnodevi Circle
r400473,P52100047444,Primarc,Pune,Maharashtra,Bavdhan
r411963,P52100034877,Duville Riverdale Grand,Pune,Maharashtra,Kharadi
r377807,UPRERAPRJ955182,Aditya World City Urban Royal,Delhi NCR,Uttar Pradesh,NH 24 Highway
r417157,P52100053045,EH The Trinity,Pune,Maharashtra,Wagholi
r413896,WBRERA/P/KOL/2023/000142,Sugam Niavara,Kolkata,West Bengal,Entally
r377609,PR/GJ/SURAT/SURATCITY/SUDA/RAA08446/110521,The Capital,Surat,Gujarat,Palanpur
r430678,PR/GJ/SURAT/CHORYASI/Surat Municipal Corporation/MAA13915/310724/310529,Altura,Surat,Gujarat,PAL
r377841,P51800032966,Veena Smart Homes,Mumbai,Maharashtra,Kandivali West
r431635,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MAA13756/010724/311228  ,Aristo The Opus and Aatmantan,Ahmedabad,Gujarat,Gota
r384642,P52100032428,Godrej Sky Greens,Pune,Maharashtra,Kharadi
r426887,PRM/KA/RERA/1251/446/PR/060324/006671,Jai Fortune Square,Bangalore,Karnataka,Hoodi
r353411,P-IND-20-2565,Treasure Dreams,Indore,Madhya Pradesh,Rangwasa 
r382019,P51800031167,Aditi Shristi Residency,Mumbai,Maharashtra,Jogeshwari East
r439929,P52100079176,Palm Drive,Pune,Maharashtra,Kharadi
r413112,P51700029348  ,Arihant Aleenta,Mumbai,Maharashtra,Vashi
r417006,P52100053118,Adira Phase 2,Pune,Maharashtra,Wagholi
r32798,,Rani Aakriti Shantiniketan,Delhi NCR,Uttar Pradesh,Sector 143B
r406376,P52100049095,Lifecraft The 4th Axis,Pune,Maharashtra,Punawale
r375613,P02200002611,Ramky One Harmony,Hyderabad,Telangana,Pragathi Nagar
r395846,PRM/KA/RERA/1251/308/PR/080323/005778,Prestige Aston Park,Bangalore,Karnataka,Sarjapur
r325263,UPRERAPRJ13203,Godrej Golf Links Exquisite Villas,Delhi NCR,Uttar Pradesh,Sector 27
r423550,P52100054519,Galaxy Orizzonte,Pune,Maharashtra,Baner
r395335,PRM/KA/RERA/1251/310/PR/300622/005028,Bren Aspera,Bangalore,Karnataka,Bandapura
r401322,P51800047381,Apex Green Wood,Mumbai,Maharashtra,Magathane
r407506,P01100005792,RK Oxygen Valley,Hyderabad,Telangana,Mallampet
r369671,P02400002127,Aparna Cyberscape,Hyderabad,Telangana,Nallagandla
r379960,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/RAA08922/210821,Anantara Abode,Ahmedabad,Gujarat,Hebatpur
r426937,PR/GJ/AHMEDABAD/DASKROI/AhmedabadMunicipalCorporation/RAA13345/180424/311227,Sheladia Artefino,Ahmedabad,Gujarat,Thaltej
r406954,P52100049314,Sai Bliss,Pune,Maharashtra,Punawale
r315163,P02400001224,YBR Avasa Hills,Hyderabad,Telangana,Adibatla
r427039,TN/29/Building/0356/2024,Prince Elite,Chennai,Tamil Nadu,Kilpauk
r410535,P51700050483,Arista Skyline,Mumbai,Maharashtra,Dombivli East
r384757,P52100032413,Shivdan MJ Opera,Pune,Maharashtra,Wakad
r338697,P51800021946,Mitasu Arcenciel,Mumbai,Maharashtra,Mulund West
r421215,PR/GJ/VADODARA/VADODARA/VadodaraMunicipalCorporation/MN368AA10268/271023,Madhuvan Space,Vadodara,Gujarat,Harni
r438250,,JB Meadowex,Bhubaneswar,Orissa,Khandagiri
r393509,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/RAA10231/A1R/290524/310327,Keshav Akshar Ocean Pearl,Ahmedabad,Gujarat,Ambli
r420479,HRERA-PKL-PKL-524-2023,DLF The Valley Orchard,Panchkula,Haryana,Sector 3
r381630,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/RAA09121/011021,Ratnaakar Pristine,Ahmedabad,Gujarat,Satellite
r423707,P52000054469,Shiv Shree Aangan,Mumbai,Maharashtra,Panvel
r432524,P-JBP-24-4983,RBM Shankary,Jabalpur,Madhya Pradesh,Tilwara
r437406,PRM/KA/RERA/1251/309/PR/051024/007131,SLV Golden Towers,Bangalore,Karnataka,Yelahanka
r422981,WBRERA/P/KOL/2024/001006,Ajmir Exotica,Kolkata,West Bengal,Beleghata
r372579,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/MAA07768/141220,Shivalik Platinum,Ahmedabad,Gujarat,Bodakdev
r403537,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA10887/111122,Ekarth One,Gandhinagar,Gujarat,Kudasan
r426174,JHARERA/PROJECT/68/2024,Sushila enclave,Ranchi,Jharkhand,Morabadi
r338539,PRM/KA/RERA/1251/308/PR/190823/002819,Krishvi BVL Statura,Bangalore,Karnataka,Bandapura
r402931,TN/11/Building/0498/2022,Town Mega City,Coimbatore,Tamil Nadu,Singanallur
r420551,PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/MN365AA10265/191023,The Balcony by Kaavyaratna,Gandhinagar,Gujarat,Randesan
r410630,P52100050939,Godrej Hillside 3,Pune,Maharashtra,Mahalunge
r402046,P52100048252,Saheel Itrend City Life,Pune,Maharashtra,Hinjewadi Phase 1
r414089,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA12147/170823,Elenza Gradient,Ahmedabad,Gujarat,Shela
r426092,PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/MAA13376/230424/300926,Satyagrah The Atlantis 84,Ahmedabad,Gujarat,Zundal
r440945,P-IND-24-5017,Param Prime Hills,Indore,Madhya Pradesh,Sanawadia
r399515,PRM/KA/RERA/1251/446/PR/030922/005213,Mukunda Nandanam,Bangalore,Karnataka,Kodigehalli
r396688,PRM/KA/RERA/1251/308/PR/280722/005108,ARS Signature Homes,Bangalore,Karnataka,Kada Agrahara
r420483,K-RERA/PRJ/KKD/228/2023,Skyline Odyssey,Calicut,Kerala,Mankavu
r439133,UPRERAPRJ877584/01/2025,Oneoak Eden at 1,Lucknow,Uttar Pradesh,Gomti Nagar Extension
r408116,P51800050490,Pinal Pramukh Krupa,Mumbai,Maharashtra,Mulund West
r402811,P52100047290,A And A Breeza,Pune,Maharashtra,Mundhwa
r402971,P52100047887,LS Laxmi Empire,Pune,Maharashtra,Ravet
r424,PRGO03180177,Aldeia De Goa,North Goa,Goa,Bambolim
r440143,RAJ/P/2025/3532,Akansha Deep Centre,Kota,Rajasthan,Rangbari
r441162,UPRERAPRJ875659/08/2024,Techman Moti CIty Phase 2,Delhi NCR,Uttar Pradesh,Modinagar
r399806,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/MAA10818/181022,Sanvicasa Sparsh,Ahmedabad,Gujarat,South Bopal
r441049,K-RERA/PRJ/KKD/004/2025,Skyline Beleza,Calicut,Kerala,Malaparamba
r409743, GGM/673/405/2023/17 ,Birla Navya Avik,Delhi NCR,Haryana,Sector 63A
r392726,PRM/KA/RERA/1251/309/PR/300522/004936,Sobha Royal Crest,Bangalore,Karnataka,Banashankari
r347363,P51900023487,Codename Above All,Mumbai,Maharashtra,Dadar West
r417014,P51700053044,City Infra Century Two,Mumbai,Maharashtra,Ghansoli
r440723,TN/11/Building/0058/2025,Casagrand Celest,Coimbatore,Tamil Nadu,Sulur
r41028,P-BPL-17-932,Asnani Spring Valley Dew,Bhopal,Madhya Pradesh,Katara Hills
r138355,P51700027464,Space Residences 2,Mumbai,Maharashtra,Miragaon
r407310,PRM/KA/RERA/1268/378/PR/040323/005767,Rai Eastern Hills,Mysore,Karnataka,Ramanahalli
r435917,PRM/KA/RERA/1251/310/PR/180924/007033,TVS Emerald Cascadia ,Bangalore,Karnataka,Sudhama Nagar
r432142,PR/GJ/AHMEDABAD/DASKROI/Ahmedabad Municipal Corporation/MAA14056/280824/311227 ,Divine Skypark,Ahmedabad,Gujarat,South Bopal
r328911,P51800020122,Prime Vista,Mumbai,Maharashtra,Ghatkopar East
r396982, P52000034268,NMS One8One,Mumbai,Maharashtra,Ulwe
r408340,PR/GJ/AHMEDABAD/SANAND/AUDA/MAA11597/150423,Sukirti 54,Ahmedabad,Gujarat,Shela
r371480,P51800010657 ,VKLAL HARI PHASE 1,Mumbai,Maharashtra,Borivali East
r389420,P51800034540,Riddhi Rajendra Nagar Swagat CHSL,Mumbai,Maharashtra,Borivali East
r380132,P52100030518,Mantra Sky Tower,Pune,Maharashtra,Akurdi
r392606,PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/MN7AA09907/130422,Samarpan Signor Skyline,Ahmedabad,Gujarat,Zundal
r208393,UPRERAPRJ15666,Shree Energy Klassic Homz,Delhi NCR,Uttar Pradesh,Raj Nagar Extension
r278547,PRGO04180055,Las Terrazos,North Goa,Goa,Siolim
r303789,P02400000815,Akshita Golden Breeze,Hyderabad,Telangana,Maheshwaram
r383262,P51700031394,Raj Urbania,Mumbai,Maharashtra,Ambernath East
r388710,PRM/KA/RERA/1250/303/PR/200922/005257,Vaishnavi Life,Bangalore,Karnataka,Bettenahalli
r303775, P51700021315,Empire Centrum,Mumbai,Maharashtra,Ambernath West
r354648,P52100025099,Kundan Espacio,Pune,Maharashtra,Balewadi
r436889,P52000077586,Dashanzi Ce La Vie,Mumbai,Maharashtra,Kharghar
r435109,PM1270002400095,Belmac Infinity,Mumbai,Maharashtra,Panvel
r441090,P52100079533,Birla Punya,Pune,Maharashtra,Sangamvadi
r381981,P50500031020,Krishna Leelaa,Nagpur,Maharashtra,Jaripatka
r439992,WBRERA/P/SOU/2025/002322,Greenfield City Phase 2,Kolkata,West Bengal,Rajpur
r383072,P51600031611,Pride Laxmi Ramna,Nashik,Maharashtra,Nashik Road
r381807,P51800030851,Alpine Primo,Mumbai,Maharashtra,Andheri West
r427058,P51700054275,JP Codename Starlife,Mumbai,Maharashtra,Mira Road East
r390659,PR/GJ/AHMEDABAD/SANAND/AUDA/MAA10196/130522,HR Eternia,Ahmedabad,Gujarat,Shela
r425408,PR/GJ/SURAT/SURAT CITY/Surat Municipal Corporation/RAA13232/010424/311229,Laxmi Aster,Surat,Gujarat,Katargam
r405447,P51800050097,Orient Regency,Mumbai,Maharashtra,Tilak nagar
r370146,P51700026503,Lodha Villa Royale,Mumbai,Maharashtra,Bhiwandi
r409448,P-IND-23-3959,VKG Spring Field,Indore,Madhya Pradesh,Manglia 
r401759,PRGO11221802,Deshmukh Marvel,North Goa,Goa,Sangolda
r435299,PR1260002400041,Lodha Palais,Pune,Maharashtra,Kothrud
r396176,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA10367/280622,Saanvi Aarambh Zest,Ahmedabad,Gujarat,Chandlodiya
r420934,P51700051574,Dreams Empire,Mumbai,Maharashtra,Naupada
r383031,P52100031791,Godrej Meadows,Pune,Maharashtra,Mahalunge
r272231,P51700008730,Rassaz Greens,Mumbai,Maharashtra,Mira Road
r426903,K-RERA/PRJ/TVM/083/2024,Cordial Punnyam,Trivandrum,Kerala,Vettamukku
r26826,,RPS Palms,Delhi NCR,Haryana,Sector 88
r392869,P01100004593,My Home Sayuk,Hyderabad,Telangana,Tellapur
r283591,P52000003852,Skyline Riverside,Mumbai,Maharashtra,Karjat
r385454,P51800032891,Satra One,Mumbai,Maharashtra,Goregaon West
r418848, P52100050923,SSPL The Strand,Pune,Maharashtra,Kharadi
r414484,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/RAA12287/010923,Samarpaye Sanatan Sarathi,Ahmedabad,Gujarat,Paldi
r392106,P51800045486,JMJ Nine Aces CHS,Mumbai,Maharashtra,Khar West
r415292,P52100052534,GD 18 Magnitude,Pune,Maharashtra,Punawale
r439564,TN/11/Building/0042/2025,Radiance Imperia,Coimbatore,Tamil Nadu,Veerakeralam
r370955,P52100026685,Kohinoor Sapphire 2,Pune,Maharashtra,Tathawade
r380648,TN/02/Building/0297/2021,Sobha Arbor,Chennai,Tamil Nadu,Poonamallee
r429460,P99000066543,Ruturaj Classic,Mumbai,Maharashtra,Nalasopara
r418473,P51700053344,Uma Ananta,Mumbai,Maharashtra,Sector 11 Kharghar
r420433,P51800053988,Rustomjee Stella,Mumbai,Maharashtra,Bandra East
r388126,PRM/KA/RERA/1251/310/PR/140322/004754,Brigade Komarla Heights,Bangalore,Karnataka,Uttarahalli
r288195,P52100010046,Golden Nobles Heights,Pune,Maharashtra,Pisoli
r416661,K-RERA/PRJ/ERN/174/2023,Casadel The Next Prodigy,Kochi,Kerala,Kakkanad
r411242,P52000051294,Rudra Kristina,Mumbai,Maharashtra,Taloja
r415578,P51800052112,Agastya Signature,Mumbai,Maharashtra,Hariyali
r430939,PRM/KA/RERA/1251/310/PR/060824/006962,Radiance Platinum,Bangalore,Karnataka,Koramangala
r412025,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/RAA12039/280623,Anjney Maruti 360,Ahmedabad,Gujarat,Bodakdev
r369779,TN/01/LAYOUT/0078/2020,VGN Highness,Chennai,Tamil Nadu,Iyyappanthangal
r321251,PCGRERA071218000866,Avinash Smart City,Raipur,Chattisgarh,Sejbahar
r370551,TN/01/Building/0358/2020,Arun Excello Sindhuraa,Chennai,Tamil Nadu,Siruseri
r424874,PR/GJ/AHMEDABAD/DASKROI/AhmedabadMunicipalCorporation/RAA13047/270224/311227,Saiyamm Apricus 2,Ahmedabad,Gujarat,Shilaj
r440137,,Srishti Eco Star,Kolkata,West Bengal,New Town
r405287,PR/GJ/SURAT/CHORASI/SUDA/RAA11237/280223,Mangalam Bliss,Surat,Gujarat,Dumas
